S. Np,Question no,Subject,Topic,option_a,option_b,option_c,option_d,Correct Answer,Year
29,"A light hollow cube of side 10 cm and mass 10 g is floating in water. It is pushed down and released to perform SHM. Time period of oscillations is yπ × 10^−2 s. Find y:
",Physics,Buoyancy-based Oscillations,6,2,4,1,B,2025
30,"Consider a circular disc of radius 20 cm with centre located at the origin. A circular hole of radius 5 cm is cut
from this disc in such a way that the edge of the hole touches the edge of the disc. The distance of centre of
mass of residual or remaining disc from the origin will be",Physics,Centre of Mass,2 cm,1.5cm,1cm,5cm,D,2025
31,If the percentage errors in measuring the length and the diameter of a wire are 0.1% each. The percentage error in measuring its resistance will be:,Physics,Error Analysis,0.20%,0.30%,0.1,0.14%,B,2024
32,"A force is represented by F = ax² + bt¹/², where x = distance and t = time. The dimensions of b²/a are:",Physics,Dimensional Analysis,M L³ T⁻³,M L T⁻²,M L⁻¹ T⁻¹,M L² T⁻³,A,2024
33,The relation between time ‘t’ and distance ‘x’ is t = αx² + βx. The relation between acceleration a and velocity v is:,Physics,Kinematics – Motion in 1D,a = -2αv³  ,a = -5αv⁵  ,a = -3αv²  ,a = -4αv⁴,A,2024
34,"In the given arrangement of a doubly inclined plane two blocks of masses M and m are placed. The blocks are
connected by a light string passing over an ideal pulley as shown. The coefficient of friction between the surface
of the plane and the blocks is 0 . 25. The value of m, for which M = 10 kg will move down with an
acceleration of 2 m s-2 is: (take g = 10 m s-2and tan 37° =
3/4)",Physics,Friction and Pulley,9kg,4.5kg,6.5kg,2.25kg,B,2024
35,"A coin is placed on a disc. The coefficient of friction between the coin and the disc is μ. If the distance of the
coin from the center of the disc is r, the maximum angular velocity which can be given to the disc, so that the coin does not slip away, is :",Physics,Circular Motion,√(μg/r),√(r/μg),√(μg/r)  ,μ√(rg),A,2024
36,"An artillery piece of mass M1 fires a shell of mass M2 horizontally. Instantaneously after the firing, the ratio of kinetic energy of the artillery and that of the shell is :",Physics,Momentum,M₁/(M₁+M₂), M₂/M₁ , M₂/(M₁+M₂) ,M₁/M₂,D,2024
37,Q11.The parameter that remains the same for molecules of all gases at a given temperature is,Physics,Kinetic Theory,Kinetic energy,Momentum,mass,speed,A,2024
38,"The fundamental frequency of a closed organ pipe is equal to the first overtone frequency of an open organ
pipe. If length of the open pipe is 60 cm, the length of the closed pipe will be :",Physics,Waves – Sound,60cm,45cm,30cm,15cm,C,2024
39,"Two charges q and 3q are separated by a distance ‘r’ in air. At a distance x from charge q, the resultant electric
field is zero. The value of x is :",Physics,Electrostatics,(1+√3)/r  ,r/3(1+√3)  ,r/(1+√3),r(1+√3),C,2024
40,"A coil is placed perpendicular to a magnetic field of 5000 T. When the field is changed to 3000 T in 2 s,
an induced emf of 22 V is produced in the coil. If the diameter of the coil is 0 . 02 m, then the number of
turns in the coil is:",Physics,Electromagnetic Induction,7,70,35,40,B,2024
41,"The correct sequence of electron gain enthalpy of the elements listed below is
A. Ar B. Br C. F D. S
Choose the most appropriate from the options given below:",Chemistry,Periodic Table – Trends,C > B > D > A,A > D > B > C ,A > D > C > B,D > C > B > A,A,2024
42,"Consider the oxides of group 14 elements SiO2, GeO2, SnO2, PbO2, CO and GeO. The amphoteric
oxides are",Chemistry,Inorganic Chemistry – Oxides,"GeO, GeO₂ ","SiO₂, GeO₂","SnO₂, PbO₂","SnO₂, CO",C,2024
43,A species having carbon with sextet of electrons and can act as electrophile is called,Chemistry,Reaction Intermediates,carbon free radical,carbanion,carbocation,pentavalent carbon,C,2024
44,Adsorption' principle is used for which of the following purification method?,Chemistry,Adsorption,Extraction,Chromatography,Distillation,Sublimation,B,2024
45,Identify the mixture that shows positive deviations from Raoult's Law,Chemistry,Ideal & Non-Ideal,(CH₃)₂CO + C₆H₅NH₂,CHCl₃ + C₆H₆  ,CHCl₃ + (CH₃)₂CO  ,(CH₃)₂CO + CS₂,D,2024
46,"The metals that are employed in the battery industries are A. Fe, B. Mn, C. Ni, D. Cr, E. Cd
Choose the correct answer from the options given below:",Chemistry,Inorganic Chemistry – Applications,"B,C and E","A,B,C,D and E","A,B,C and D","B, D and E",A,2024
47,Identify the factor from the following that does not affect electrolytic conductance of a solution.,Chemistry,Electrochemistry,The nature of the electrolyte added.,The nature of the electrode used.,Concentration of the electrolyte.,The nature of solvent used.,D,2024
48,"Identify correct statements from below:
A. The chromate ion is square planar. B. Dichromates are generally prepared from chromates.
C. The green manganate ion is diamagnetic.
D. Dark green coloured K2MnO4 disproportionates in a neutral or acidic medium to give permanganate.
E. With increasing oxidation number of transition metal, ionic character of the oxides decreases.
Choose the correct answer from the options given below:",Chemistry,Transition Elements,"B,C and D","A,D and E","A,B and C","B, D and E",D,2024
49,The compound that is white in color is,Chemistry,Salt Analysis,ammonium sulphide,lead sulphate,lead iodide,ammonium arsinomolybdate,B,2024
50,"Given below are two statements: One is labelled as Assertion A and the other is labelled as Reason R:
Assertion A: pKa value of phenol is 10 . 0 while that of ethanol is 15 . 9.
Reason R: Ethanol is stronger acid than phenol.
In the light of the above statements, choose the correct answer from the options given below:",Chemistry,Acid–Base Concepts in Organic Chemistry,A is true but R is false,A is false but R is true,Both A and R are true and R is the correct explanation of A,"Both A and R are true but R is NOT the correct
explanation of A.",A,2024
51,Set S of positive integers a such that (ax² + 2a+1x + 9a+4)/(x²−8x+32) < 0 for all real x. No. of elements in S:,Maths,Algebra,1,2,infinity,3,B,2024
52,"Given quadratic has root α ≠ 1. Two statements:
I: If α ∈ (−1, 0), then b not geometric mean of a and c.
II: If α ∈ (0, 1), b may be geometric mean of a and c.",Maths,Quadratic Equations,Both (I) and (II) are true,Neither (I) nor (II) is true,Only (II) is true,Only (I) is true,A,2024
53,Sum of series: 1/(1−3·1²+1⁴) + 2/(1−3·2²+2⁴) + ... up to 10 terms.,Maths,Series and Sequences,0.41,-0.41,0.5,-0.504587156,A,2024
54,"Vertices of parallelogram A(α,β), B(1,0), C(γ,δ), D(1,2) with AB = √10 and A, C on 3y = 2x + 1. Find 2α + β + γ + δ.",Maths,Geometry of Figures,10,5,12,8,C,2024
55,"Hyperbola has same foci as ellipse x²/9 + y²/25 = 1, and its e = 15/8 × e of ellipse. Find focal distance of given point.",Maths,Ellipse & Hyperbola,7√2/5 - 8/3,14√2/5 - 4/3,14√2/5 - 16/3,7√2/5 + 8/3,,2024
56,Evaluate: limₓ→0 (e^(2sinx) − 2sinx − 1)/x²,Maths,Limits – Calculus,is equal to -1,does not exist,is equal to 1,is equal to 2,D,2024
57,"System has infinite solutions:
x−2y+z=−4
2x+αy+3z=5
3x−y+βz=3. Find 12α + 13β",Maths,Consistency of Systems,60,64,54,58,D,2024
58,"f(x) = (4x + 3)/(6x − 4), x ≠ 2/3; g(x) = f∘f(x); Find g∘g∘g(4).",Maths,Composition,-0.95,0.95,-4,4,D,2024
59,"The marbles are drawn in succession from a box containing 10 red, 30 white, 20 blue and 15 orange marbles,
with replacement being made after each drawing. Then the probability, that first drawn marble is red and
second drawn marble is white, is",Maths,Probability – Independent Events,0.08,0.16,0.67,0.05,A,2024
60,"Three rotten apples are accidently mixed with fifteen good apples. Assuming the random variable x to be the
number of rotten apples in a draw of two apples, the variance of x is",Maths,Statistics – Variance of Random Variable,37/153,57/153,47/153,40/153,D,2024
61,"If speed, area and force are chosen as fundamental units, then the dimension of Young's modulus will be",PHYSICS,Dimensions,FA²V⁻¹,(2) FA²V⁻³,(3) FA²V⁻²,(4) FA⁻¹V⁰,d,2020
62,Two trains A (36 km/h) and B (72 km/h) move in opposite directions. A person walks opposite to A’s motion at 8 km/h. What is the speed of the person as seen from train B?,PHYSICS,Relative Motion,29.5 m/s,(2) 28.5 m/s,(3) 31.5 m/s,(4) 30.5 m/s,a,2020
63,"A bead stays on a rotating parabolic wire y=4Cx2y = 4Cx^2y=4Cx2. Find ω (angular speed) so that it stays at P(a, b).",PHYSICS,Circular Motion on Parabolic Wire,22gC​,(2) 2gC\sqrt{2gC}2gC​,(3) 2g/C\sqrt{2g/C}2g/C​,(4) g/2C\sqrt{g/2C}g/2C​,a,2020
64,A cylinder of mass M and radius R is to be pulled over a step of height a by force F. What is minimum F?,PHYSICS,Mechanics (Cylinder Over Step), Mg1−(R−a)2/R2Mg\sqrt{1 - (R - a)^2/R^2}Mg1−(R−a)2/R2​, Mg1−a2/R2Mg\sqrt{1 - a^2/R^2}Mg1−a2/R2​, Mg⋅a/RMg \cdot a/RMg⋅a/R, Mg(R/(R−a))2−1Mg\sqrt{(R/(R-a))^2 - 1}Mg(R/(R−a))2−1,a,2020
65,2 kg of 235U^{235}U235U used in 30 days. Energy per fission = 200 MeV. Power output ≈ ?,PHYSICS,Nuclear Physics (Reactor Energy),(1) 35 MW,(2) 60 MW,(3) 125 MW,(4) 54 MW,b,2020
66,A mass m with velocity u collides elastically with a mass 3m at rest. What is the final velocity v of m? (Elastic Collision),PHYSICS,(Elastic Collision),1) u3\frac{u}{\sqrt{3}}3​u​,(2) 23u\sqrt{\frac{2}{3}}u32​​u,(3) u6\frac{u}{\sqrt{6}}6​u​,(4) uuu,a,2020
67,A uniform rod of mass m with a weight of mass 2m suspended at 75 cm from end A. Find tension at A. (Rotational Equilibrium),PHYSICS,(Rotational Equilibrium),0.5 mg,1 mg,(3) 0.75 mg,(4) 2 mg,b,2020
68,A cylindrical vessel of radius 5 cm is rotated with angular speed ω. What is the height difference of the liquid from center to sides? (Rotating Liquid),PHYSICS,Rotating Liquid),(1) 2ω2R2g\frac{2\omega^2R^2}{g}g2ω2R2​,(2) 5ω2R2g\frac{5\omega^2R^2}{g}g5ω2R2​,(3) 2gR2ω2\frac{2gR^2}{\omega^2}ω22gR2​,(4) 5gR2ω2\frac{5gR^2}{\omega^2}ω25gR2​,a,2020
69,Power output of reactor using 2 kg U-235 in 30 days,PHYSICS,Nuclear Physics,35 MW,60 MW,125MW,75MW,b,2020
70,"Internal energy of gas mixture (3 mol O₂, 5 mol Ar)",PHYSICS,(Thermodynamics),15RT,13RT,20RT,11RT,a,2020
71,Period of revolution of star in galaxy with ρ ∝ 1/r,PHYSICS,Gravitation,T² ∝ R,T² ∝ R³,T² ∝ √R,T ∝ R,a,2020
72,Ratio of tensions in strings with different frequencies,CHEMISTRY,Periodic Properties,Ionization enthalpy,Electronegativity,Electron gain enthalpy,Atomic radius,d,2020
73,Which property shows an opposite trend across a period compared to others?,CHEMISTRY,Molecular Geometry,Square pyramidal,Tetrahedral,Rectangular planar,Square planar,a,2020
74,"If AB₄ is a polar molecule, what is a possible geometry?",CHEMISTRY,Ideal Gas Laws,Graph I,Graph II,Graph III,Graph IV,b,2020
75,"An open beaker of water is in equilibrium with water vapor in a sealed container. When glucose is added, the rate at which water molecules:",CHEMISTRY,Colligative Properties,Leaves vapor increases,Leaves solution increases,Leaves solution decreases,Leaves vapor decreases,c,2020
76,"While titrating dilute HCl with aqueous NaOH, which of the following is NOT required?",CHEMISTRY,Titration Apparatus,Burette and porcelain tile,Pipette and distilled water,Clamp and phenolphthalein,Bunsen burner and measuring cylinder,d,2020
77,The metal mainly used in photoelectric cells is:,CHEMISTRY,Surface Chemistry,Na,Li,Rb,Cs,d,2020
78,"If Ek = ∑ₖ=1⁴ (k / (k + 1)) = m/n, m + n = ?",MATHS,Series,166,120,144,132,a,2020
79,"A.P.s from 100 to 199 with integer d, 3 ≤ n ≤ 33. Sum of all d’s?",MATHS,Arithmetic Progressions,53,45,60,48,c,2020
80,"Solve 2sin²θ − cos²θ = 0 and 2cos²θ + 3sinθ = 0 in [0, 2π]. Sum = kπ. Find k.",MATHS,Trigonometric Equations,3,4,5,6,c,2020
81,"Mean = 30, SD = 5 for 40 obs. Two wrong values 12, 10 removed. New SD²?",MATHS,Statistics,238,240,236,242,a,2020
82,Values of λ for which system has no solution,MATHS,Linear Equations,More than two elements,Empty set,Singleton,Exactly two elements,d,2020
83,Domain of f(x) = sin⁻¹((2x + 5)/(x² + 1)),MATHS,Functions & Domain,√13,(√17 - 1)/2,(1 + √17)/2,√(17 + 10),c,2020
84,Values of λ for which system has no solution,MATHS,Continuity & Differentiability,(e² - 3e + 13)/2,(2e² - 3e - 13)/e,(e² + 3e + 13)/2,(e² - 3e + 13)/e,d,2020
85,"Tangent to y = x + sin y parallel to line joining (0,3) and (2,2)",MATHS,Differentiation,b = a,b - a,1,b = -a,b,2020
86,"p(x) has local max 8 at x = 1 and min 4 at x = 2, find p(0)",MATHS,Maxima & Minima,6,-12,24,12,b,2020
87,Equation of normal to y = x² + 7x + 2 nearest to y = 3x - 3,MATHS,Coordinate Geometry,x + 3y + 26 = 0,x + 3y - 62 = 0,x - 3y - 11 = 0,x - 3y + 22 = 0,A,2020
88,Area outside circle x² + y² = 1 and inside ellipse x²/4 + y² = 1,MATHS,Area under Curves,6(π - 2),3(π - 2),3(4 - π),6(4 - π),A,2020
89,"Solve dy/dx = -(cos x)/(2 + sin x)(y + 1), y(0) = 1, find y(1) = a, dy/dx at π = b",MATHS,Differential Equations,"(2, 2)","(1, -1)","(1, 1)","(2, 1)",C,2020
90,"Plane through (1,2,1), (2,1,2) and parallel to 2x = 3y, z = 1 passes through",MATHS,3D Geometry,"(0, 6, -2)","(-2, 0, 1)","(0, -6, 2)","(2, 0, -1)",B,2021
91,"Card drawn from Box 1 (1–30) or Box 2 (31–50), number is non-prime, find P(Box 1)",MATHS,Probability,½, 4/9, 2/5, 5/9,B,2021
92,"If e is electronic charge, c is speed of light, h is Planck’s constant, the quantity 1 has dimensions of:",PHYSICS,Units & Dimensions,[MLT⁰],[M⁰L⁰T⁰],[MLT⁻¹],[LC⁻¹], b,2021
93,"A stone is dropped from a building. When it crosses 5 m, another stone is dropped from 25 m. Both reach ground together. Height of building?",PHYSICS,Kinematics,25 m,45 m,35 m,50 m,b,2021
94,A sphere of radius a and mass m rolls with speed v₀ and climbs an incline θ. How far up will it go?,PHYSICS,"Work, Energy & Power",\frac{v_0^2}{2g \sin \theta},\frac{v_0^2}{5g \sin \theta},\frac{v_0^2}{7g \sin \theta},\frac{v_0^2}{g \sin \theta},b,2021
95,"In a PV diagram for 1 mole of ideal gas, if V₂ = 2V₁, then T₂/T₁ is:",PHYSICS,Thermodynamics,1,02-Jan,2,04-Jan,a,2021
96,Statement I: Rotational energy of diatomic gas obeys Maxwell’s distribution. Statement II: Rotational energy equals translational KE.,PHYSICS,Kinetic Theory of Gases,"I false, II true","I true, II false",Both true,Both false,b,2021
97,Two springs of constant 2k attached to mass m. Time period of oscillation?,PHYSICS,SHM,\pi \sqrt{\frac{m}{k}},2\pi \sqrt{\frac{m}{2k}},\pi \sqrt{\frac{m}{2k}},2\pi \sqrt{\frac{m}{k}},a,2021
98,"A point A moves in a circle of radius 0.36 m, covering 30° in 0.1 s. Projection P on diameter executes SHM. Restoring force per unit mass at M?",PHYSICS,SHM,0.49 N,9.87 N,50 N,100 N,b,2021
99,A charge q is placed at one corner of a cube. Flux through shaded face is:,PHYSICS,Gauss’s Law,\frac{q}{8\varepsilon_0},\frac{q}{24\varepsilon_0},\frac{q}{48\varepsilon_0},\frac{q}{4\varepsilon_0},b,2021
100,"In a ferromagnetic material, below Curie temperature, a domain is:",PHYSICS,Magnetism,Region with saturation magnetization,Region with opposite dipoles,Region with zero magnetization,Region with random dipoles,a,2021
101,"Electron enters capacitor at angle α with KE K₁, exits at angle β with KE K₂. K₁:K₂ = ?",PHYSICS,Motion in E-field,\frac{\sin^2 \beta}{\cos^2 \alpha},\frac{\sin \beta}{\cos \beta},\frac{\cos^2 \beta}{\cos^2 \alpha},\frac{\cos^2 \alpha}{\cos^2 \beta},d,2021
102,"A hyperbola passes through foci of ellipse 25x² + 16y² = 1. If transverse and conjugate axes align with ellipse and product of eccentricities is 1, equation is:",MATHS,Conic Sections,2x² - 3y² = 1,x² - y² = 9,2x² - y² = 1,x² - 2y² = 1,a,2021
103,"Contrapositive of “If you work, you earn money” is:",MATHS,Logic,"If not earn, then not work","To earn, you must work","If not work, then earn","If earn, then work",a,2021
104,"If A is a 2×2 matrix and A·Aᵗ = I₂, then a² + 3a² = ?",MATHS,Matrices,3,1,2,4,b,2021
105,A is 3×3 with det(A) = 4. B is formed by R₂ → 2R₂ + 5R₃ on 2A. Find det(B).,MATHS,Determinants,64,16,128,80,a,2021
106,"System: 2x+3y+2z=9, 3x+2y+2z=9, x−y+4z=8. Then:",MATHS,Linear Equations,Infinitely many solutions,Unique solution,Solution exists with a² + b² + c² = 12,No solution,b,2021
107,cosec[2cot⁻¹(5) + cos⁻¹(¾)] = ?,MATHS,Inverse Trigonometry,55/56,65/33,65/56,56/33,a,2021
108,f(x) = ⌊2x⌋. Find f(2/9) + f(4/9) + ... + f(28/9):,MATHS,Series,22,49,39,29,c,2021
109,"Let x = one-one functions from A (3 elements) to B (5 elements), y = one-one from A to A×B. Then:",MATHS,Functions & Sets,"x = 60, y = 120","x = 120, y = 60","x = 60, y = 1200","x = 120, y = 600",c,2021
110,Shortest distance between line x−y=1 and curve x²=2y:,MATHS,Coordinate Geometry,√2,1,2√2,0,c,2021
111,∫ (e⁴ log x + 5e³ log x − 7e² log x)/(e³ log 2x + 5) dx = ?,MATHS,Integration,log,x² + 5x − 7,+ c,4 log,a,2021
112,Method used for purification of Indium is:,CHEMISTRY,Metallurgy,Vapour phase refining,Liquation,Zone refining,Van Arkel method,c,2021
113,Correct order of bond dissociation enthalpy of halogens:,CHEMISTRY,Bond Enthalpy,F₂ > Cl₂ > Br₂ > I₂,Cl₂ > F₂ > Br₂ > I₂,I₂ > Br₂ > Cl₂ > F₂,Cl₂ > Br₂ > F₂ > I₂,d,2021
114,α and β sulphur interconvert with heating/cooling. Which is true?,CHEMISTRY,Allotropes of Sulphur,Both true,"I true, II false","I false, II true",Both false,b,2021
115,Major components of German Silver are:,CHEMISTRY,Alloys,"Zn, Ni, Ag","Cu, Zn, Ni","Ge, Cu, Ag","Cu, Zn, Ag",b,2021
116,Arrange complexes in decreasing spin-only magnetic moment:,CHEMISTRY,Coordination Compounds,(ii) > (i) > (iii) > (iv),(iii) > (iv) > (ii) > (i),(i) > (iii) > (iv) > (ii),(ii) > (iii) > (i) > (iv),c,2021
117,Ni²⁺ is identified by dimethylglyoxime in NH₄OH. Which is true?,CHEMISTRY,Qualitative Analysis,"I false, II true","I true, II false",Both true,Both false,b,2021
118,Major product of CH₃CH₂CH=CH₂ + H₂/CO (Rh catalyst):,CHEMISTRY,Organic Reactions,CH₃CH₂CH=CHCHO,CH₃CH₂CH₂CH₂CHO,CH₃CH₂CH₂CHO,CH₃CH₂C≡CH₂CHO,b,2021
119,Product X in reaction with oxalic acid at 210°C:,CHEMISTRY,Organic Reactions,CHO-CHO,CH₂-CHO,CHOH-CHOH,CH₂OH-CH₂OH,b,2021
120,Product formed with aniline in carbylamine test:,CHEMISTRY,Carbylamine Test,CONH₂,NHCH₃,CN,C₆H₅NC,d,2022
121,Correct structure of α-anomer of maltose:,CHEMISTRY,Biomolecules,Structure with α-linkage,β-anomer,Random OH positions,All OH equatorial,a,2022
122,Two projectiles are thrown with same speed at 45° and 30°. Ratio of ranges?,PHYSICS,Projectile Motion,2:√3,√3:2,1:√2,√2:1,a,2022
123,M₂ = 2M₁ → acceleration a₁; M₂ = 3M₁ → acceleration a₂. Find a₂/a₁.,PHYSICS,Newton’s Laws,03-Feb,02-Mar,02-Jan,2,b,2022
124,"Ball of 0.15 kg hits wall at 12 m/s, rebounds at same speed. Force = 100 N. Time of contact?",PHYSICS,Impulse-Momentum,0.018 s,0.036 s,0.009 s,0.072 s,b,2022
125,Two bodies of 8 kg and 2 kg have equal KE. Ratio of momenta?,PHYSICS,Kinetic Energy & Momentum,01:01,02:01,01:04,04:01,b,2022
126,Body projected with ⅓ escape velocity. Max height? (R = 6400 km),PHYSICS,Gravitation,800 km,1600 km,2133 km,4800 km,a,2022
